Linux 3.13.0-100-generic (ip-172-31-1-186) 	12/19/2016 	_x86_64_	(1 CPU)

09:55:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:55:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:55:52 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
09:55:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:55:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:55:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:55:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:55:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:55:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:55:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:00 PM     all      5.00      0.00      0.00      0.00      0.00     95.00
09:56:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:09 PM     all      0.00      0.00      0.00      2.00      0.00     98.00
09:56:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:13 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
09:56:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:16 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
09:56:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:21 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
09:56:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:23 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
09:56:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:56:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
