Linux 3.13.0-100-generic (ip-172-31-15-89) 	12/10/2016 	_x86_64_	(1 CPU)

05:29:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:29:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:19 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:29:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:21 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:29:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:23 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:29:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:27 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:29:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:37 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:29:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:39 PM     all      8.00      0.00      0.00      0.00      0.00     92.00
05:29:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:46 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:29:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:49 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:29:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:29:58 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:29:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:00 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
05:30:01 PM     all      0.00      0.00      0.00      0.00      3.85     96.15
05:30:02 PM     all      0.00      0.00      0.00      0.00      2.94     97.06
05:30:03 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:30:04 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:30:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:30:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
