Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/26/2016 	_x86_64_	(1 CPU)

09:35:26 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:35:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:30 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:35:31 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
09:35:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:33 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:35:34 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
09:35:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:36 PM     all      0.98      0.00      0.98      0.00      0.00     98.04
09:35:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:38 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
09:35:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:35:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:44 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
09:35:45 PM     all      6.32      0.00      0.00      0.00      0.00     93.68
09:35:46 PM     all      4.44      0.00      2.22      0.00      1.11     92.22
09:35:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:50 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:35:51 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
09:35:52 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:35:53 PM     all      0.00      0.00      0.00      2.00      0.00     98.00
09:35:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:57 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:35:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:35:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:36:00 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
09:36:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:36:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
