Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/26/2016 	_x86_64_	(1 CPU)

09:09:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:09:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:31 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
09:09:32 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
09:09:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:34 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:09:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:36 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
09:09:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:38 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
09:09:39 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
09:09:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:41 PM     all     27.66      0.00      0.00      0.00      0.00     72.34
09:09:42 PM     all     30.43      0.00      1.09      0.00      1.09     67.39
09:09:43 PM     all     55.67      0.00      3.09      0.00      0.00     41.24
09:09:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:09:59 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
09:10:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:09 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
09:10:10 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
09:10:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:12 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
09:10:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:14 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
09:10:15 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:10:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:10:23 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
09:10:24 PM     all     10.10      0.00      1.01      0.00      0.00     88.89
09:10:25 PM     all     24.00      0.00      2.00      0.00      0.00     74.00
09:10:26 PM     all     44.33      0.00      2.06      0.00      0.00     53.61
09:10:27 PM     all     86.87      0.00      4.04      0.00      0.00      9.09
09:10:28 PM     all     84.00      0.00      5.00      0.00      0.00     11.00
09:10:29 PM     all     91.09      0.00      5.94      0.00      0.00      2.97
09:10:30 PM     all     75.51      0.00      7.14      0.00      0.00     17.35
09:10:31 PM     all     84.85      0.00      7.07      0.00      0.00      8.08
09:10:32 PM     all     94.00      0.00      6.00      0.00      0.00      0.00
09:10:33 PM     all     96.00      0.00      3.00      0.00      0.00      1.00
09:10:34 PM     all     92.00      0.00      6.00      0.00      0.00      2.00
09:10:35 PM     all     92.00      0.00      8.00      0.00      0.00      0.00
09:10:36 PM     all     90.10      0.00      9.90      0.00      0.00      0.00
09:10:37 PM     all     93.94      0.00      6.06      0.00      0.00      0.00
09:10:38 PM     all     93.00      0.00      7.00      0.00      0.00      0.00
09:10:39 PM     all     89.90      0.00     10.10      0.00      0.00      0.00
09:10:40 PM     all     59.38      0.00     10.42      0.00      1.04     29.17
09:10:41 PM     all     55.56      0.00      5.56      0.00      0.00     38.89
09:10:42 PM     all     43.18      0.00      6.82      0.00      0.00     50.00
09:10:43 PM     all     27.91      0.00      8.14      0.00      0.00     63.95
09:10:44 PM     all     30.68      0.00      6.82      0.00      0.00     62.50
09:10:45 PM     all     36.78      0.00      6.90      0.00      0.00     56.32
09:10:46 PM     all     49.44      0.00      5.62      0.00      1.12     43.82
09:10:47 PM     all     35.23      0.00      7.95      0.00      0.00     56.82
09:10:48 PM     all     34.48      0.00     11.49      0.00      0.00     54.02
09:10:49 PM     all     38.82      0.00     10.59      0.00      0.00     50.59
09:10:50 PM     all     46.67      0.00     11.11      0.00      0.00     42.22
09:10:51 PM     all     40.70      0.00      9.30      0.00      0.00     50.00
09:10:52 PM     all     31.40      0.00     11.63      0.00      0.00     56.98
09:10:53 PM     all     35.71      0.00     10.71      0.00      0.00     53.57
09:10:54 PM     all     44.19      0.00     10.47      0.00      0.00     45.35
09:10:55 PM     all     36.78      0.00      5.75      0.00      1.15     56.32
09:10:56 PM     all     47.19      0.00     10.11      0.00      0.00     42.70
09:10:57 PM     all     30.95      0.00     15.48      0.00      0.00     53.57
09:10:58 PM     all     36.05      0.00     11.63      0.00      0.00     52.33
09:10:59 PM     all     31.40      0.00     13.95      0.00      0.00     54.65
09:11:00 PM     all     32.56      0.00      9.30      0.00      1.16     56.98
09:11:01 PM     all     31.76      0.00     15.29      0.00      0.00     52.94
09:11:02 PM     all     36.36      0.00     15.91      0.00      0.00     47.73
09:11:03 PM     all     39.53      0.00      9.30      0.00      0.00     51.16
09:11:04 PM     all     30.59      0.00     14.12      0.00      0.00     55.29
09:11:05 PM     all     28.05      0.00     12.20      0.00      0.00     59.76
09:11:06 PM     all     34.52      0.00      9.52      0.00      1.19     54.76
09:11:07 PM     all     27.06      0.00     12.94      0.00      0.00     60.00
09:11:08 PM     all     30.95      0.00     16.67      0.00      0.00     52.38
09:11:09 PM     all     33.33      0.00     10.34      0.00      0.00     56.32
09:11:10 PM     all     30.95      0.00      5.95      0.00      0.00     63.10
09:11:11 PM     all     31.40      0.00     11.63      0.00      1.16     55.81
09:11:12 PM     all     37.93      0.00     13.79      0.00      0.00     48.28
09:11:13 PM     all     37.21      0.00     11.63      0.00      0.00     51.16
09:11:14 PM     all     35.37      0.00     10.98      0.00      0.00     53.66
09:11:15 PM     all     28.92      0.00     16.87      0.00      0.00     54.22
09:11:16 PM     all     36.47      0.00      8.24      0.00      0.00     55.29
09:11:17 PM     all     53.41      0.00      7.95      0.00      0.00     38.64
09:11:18 PM     all     36.47      0.00      7.06      0.00      0.00     56.47
09:11:19 PM     all     32.58      0.00     12.36      0.00      1.12     53.93
09:11:20 PM     all     37.65      0.00     10.59      0.00      0.00     51.76
09:11:21 PM     all     37.65      0.00      8.24      0.00      0.00     54.12
09:11:22 PM     all     32.94      0.00      9.41      0.00      0.00     57.65
09:11:23 PM     all     29.07      0.00     17.44      0.00      0.00     53.49
09:11:24 PM     all     32.18      0.00     12.64      0.00      1.15     54.02
09:11:25 PM     all     34.94      0.00      8.43      0.00      0.00     56.63
09:11:26 PM     all     27.91      0.00     11.63      0.00      0.00     60.47
09:11:27 PM     all     31.71      0.00     18.29      0.00      0.00     50.00
09:11:28 PM     all     31.76      0.00     12.94      0.00      0.00     55.29
09:11:29 PM     all     41.38      0.00     11.49      0.00      0.00     47.13
09:11:30 PM     all     33.72      0.00     13.95      0.00      0.00     52.33
09:11:31 PM     all     32.56      0.00     12.79      0.00      1.16     53.49
09:11:32 PM     all     32.94      0.00     12.94      0.00      0.00     54.12
09:11:33 PM     all     30.59      0.00     14.12      1.18      0.00     54.12
09:11:34 PM     all     50.00      0.00     13.64      0.00      0.00     36.36
09:11:35 PM     all     36.78      0.00     11.49      0.00      0.00     51.72
09:11:36 PM     all     34.44      0.00     12.22      0.00      1.11     52.22
09:11:37 PM     all     40.00      0.00     11.11      0.00      0.00     48.89
09:11:38 PM     all     45.56      0.00     11.11      0.00      0.00     43.33
09:11:39 PM     all     31.76      0.00     14.12      0.00      0.00     54.12
09:11:40 PM     all     32.56      0.00     12.79      0.00      0.00     54.65
09:11:41 PM     all     32.18      0.00     12.64      0.00      0.00     55.17
09:11:42 PM     all     27.59      0.00     17.24      0.00      0.00     55.17
09:11:43 PM     all     36.05      0.00      8.14      0.00      0.00     55.81
09:11:44 PM     all     36.78      0.00     13.79      0.00      1.15     48.28
09:11:45 PM     all     34.48      0.00     12.64      0.00      0.00     52.87
09:11:46 PM     all     34.12      0.00      9.41      0.00      0.00     56.47
09:11:47 PM     all     31.71      0.00     12.20      0.00      0.00     56.10
09:11:48 PM     all     31.03      0.00     13.79      0.00      1.15     54.02
09:11:49 PM     all     29.27      0.00     14.63      0.00      0.00     56.10
09:11:50 PM     all     36.47      0.00      7.06      0.00      0.00     56.47
09:11:51 PM     all     34.12      0.00     12.94      0.00      0.00     52.94
09:11:52 PM     all     36.14      0.00      9.64      0.00      0.00     54.22
