Linux 3.13.0-100-generic (ip-172-31-1-186) 	12/21/2016 	_x86_64_	(1 CPU)

07:23:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:23:41 PM     all      0.98      0.00      0.00      0.98      0.00     98.04
07:23:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:46 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
07:23:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:48 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
07:23:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:50 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
07:23:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:57 PM     all      0.00      0.00      0.00      2.00      0.00     98.00
07:23:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:23:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:02 PM     all      5.21      0.00      0.00      0.00      0.00     94.79
07:24:03 PM     all     51.69      0.00      1.12      0.00      0.00     47.19
07:24:04 PM     all     37.76      0.00      3.06      0.00      1.02     58.16
07:24:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:11 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
07:24:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:27 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
07:24:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:24:30 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
07:24:31 PM     all     63.27      0.00      5.10      0.00      0.00     31.63
07:24:32 PM     all     11.00      0.00      1.00      0.00      0.00     88.00
07:24:33 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
