Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/22/2016 	_x86_64_	(1 CPU)

02:08:54 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:08:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:08:56 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
02:08:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:08:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:08:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:15 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:09:16 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:09:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:21 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:09:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:25 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:09:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:29 PM     all     25.49      0.00      2.94      0.98      0.00     70.59
02:09:30 PM     all     88.89      0.00      1.01      0.00      0.00     10.10
02:09:31 PM     all     88.12      0.00      4.95      0.00      0.00      6.93
02:09:32 PM     all     59.79      0.00      3.09      0.00      0.00     37.11
02:09:33 PM     all      1.98      0.00      0.99      0.00      0.00     97.03
02:09:34 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:09:35 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
02:09:36 PM     all      4.04      0.00      0.00      0.00      0.00     95.96
02:09:37 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:09:38 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
02:09:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:09:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:41 PM     all      3.00      0.00      0.00      0.00      0.00     97.00
02:09:42 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
02:09:43 PM     all     10.20      0.00      0.00      0.00      0.00     89.80
02:09:44 PM     all      3.00      0.00      0.00      0.00      0.00     97.00
02:09:45 PM     all      5.00      0.00      0.00      0.00      0.00     95.00
02:09:46 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:09:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:48 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
02:09:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:51 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:09:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:09:55 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:09:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
