Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/26/2016 	_x86_64_	(1 CPU)

04:28:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:28:29 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:28:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:32 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
04:28:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:35 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:28:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:28:40 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:28:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:43 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:28:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:46 PM     all      0.00      0.00      0.99      0.00      0.99     98.02
04:28:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:49 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:28:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:52 PM     all      3.03      0.00      0.00      0.00      0.00     96.97
04:28:53 PM     all     39.36      0.00      0.00      0.00      0.00     60.64
04:28:54 PM     all     16.48      0.00      5.49      0.00      0.00     78.02
04:28:55 PM     all     14.89      0.00      0.00      1.06      0.00     84.04
04:28:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:28:57 PM     all      4.95      0.00      0.00      0.00      0.00     95.05
04:28:58 PM     all      6.06      0.00      0.00      0.00      0.00     93.94
04:28:59 PM     all      5.00      0.00      0.00      0.00      0.00     95.00
04:29:00 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
04:29:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:03 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
04:29:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:05 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:29:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:14 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
04:29:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:19 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:29:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:22 PM     all      0.99      0.00      0.99      0.00      0.00     98.02
04:29:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:29:26 PM     all      0.99      0.00      0.99      0.00      0.00     98.02
04:29:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
