Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/01/2017 	_x86_64_	(1 CPU)

03:17:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:17:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:16 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
03:17:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:18 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
03:17:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:22 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:17:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:30 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
03:17:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:17:35 PM     all     26.00      0.00      1.00      1.00      0.00     72.00
03:17:36 PM     all     59.79      0.00      2.06      0.00      0.00     38.14
03:17:37 PM     all     51.58      0.00      3.16      0.00      0.00     45.26
03:17:38 PM     all     58.76      0.00      5.15      0.00      0.00     36.08
03:17:39 PM     all     56.84      0.00      1.05      0.00      0.00     42.11
03:17:40 PM     all     25.27      0.00      2.20      0.00      1.10     71.43
03:17:41 PM     all     31.52      0.00      1.09      0.00      0.00     67.39
03:17:42 PM     all     19.57      0.00      3.26      0.00      1.09     76.09
03:17:43 PM     all     26.97      0.00      3.37      0.00      0.00     69.66
03:17:44 PM     all     18.39      0.00      1.15      1.15      0.00     79.31
03:17:45 PM     all     50.54      0.00      4.30      0.00      0.00     45.16
03:17:46 PM     all     22.09      0.00      1.16      0.00      1.16     75.58
03:17:47 PM     all     12.94      0.00      2.35      0.00      0.00     84.71
03:17:48 PM     all     38.30      0.00      2.13      1.06      1.06     57.45
03:17:49 PM     all     33.70      0.00      3.26      0.00      0.00     63.04
03:17:50 PM     all     34.09      0.00      1.14      1.14      0.00     63.64
03:17:51 PM     all     73.20      0.00      6.19      0.00      0.00     20.62
03:17:52 PM     all     42.70      0.00      2.25      0.00      0.00     55.06
03:17:53 PM     all     46.24      0.00      2.15      0.00      1.08     50.54
03:17:54 PM     all      6.74      0.00      4.49      0.00      0.00     88.76
03:17:55 PM     all      8.99      0.00      3.37      0.00      1.12     86.52
03:17:56 PM     all      5.21      0.00      1.04      2.08      0.00     91.67
03:17:57 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
03:17:58 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:17:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:03 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
03:18:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:09 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
03:18:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:11 PM     all      4.00      0.00      0.00      0.00      0.00     96.00
03:18:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:14 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:18:15 PM     all      1.98      0.00      0.00      0.00      0.00     98.02
03:18:16 PM     all      2.04      0.00      0.00      0.00      0.00     97.96
03:18:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:31 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
03:18:32 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:18:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:34 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:18:35 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
03:18:36 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
03:18:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:38 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
03:18:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:43 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
03:18:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:47 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:18:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:53 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:18:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:18:59 PM     all     44.90      0.00      4.08      0.00      0.00     51.02
03:19:00 PM     all     89.69      0.00      6.19      0.00      0.00      4.12
03:19:01 PM     all     84.00      0.00     13.00      0.00      0.00      3.00
03:19:02 PM     all     78.57      0.00     13.27      0.00      0.00      8.16
03:19:03 PM     all     87.50      0.00      7.29      0.00      0.00      5.21
