Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/01/2017 	_x86_64_	(1 CPU)

03:23:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:23:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:40 PM     all      1.00      0.00      0.00      4.00      0.00     95.00
03:23:41 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:23:42 PM     all      0.00      0.00      1.00      2.00      0.00     97.00
03:23:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:44 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:23:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:47 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:23:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:49 PM     all      0.99      0.00      0.00      0.00      0.99     98.02
03:23:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:53 PM     all      0.98      0.00      0.00      0.98      0.00     98.04
03:23:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:57 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:23:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:01 PM     all     21.88      0.00      1.04      0.00      0.00     77.08
03:24:02 PM     all     17.58      0.00      1.10      0.00      0.00     81.32
03:24:03 PM     all     28.89      0.00      2.22      0.00      0.00     68.89
03:24:04 PM     all      7.95      0.00      2.27      1.14      1.14     87.50
03:24:05 PM     all     78.35      0.00      2.06      0.00      0.00     19.59
03:24:06 PM     all     81.25      0.00      4.17      0.00      0.00     14.58
03:24:07 PM     all     50.00      0.00      3.19      0.00      1.06     45.74
03:24:08 PM     all      3.49      0.00      3.49      1.16      0.00     91.86
03:24:09 PM     all     67.71      0.00      3.12      0.00      0.00     29.17
03:24:10 PM     all     91.84      0.00      3.06      0.00      0.00      5.10
03:24:11 PM     all     21.35      0.00      3.37      0.00      0.00     75.28
03:24:12 PM     all      6.82      0.00      2.27      0.00      1.14     89.77
03:24:13 PM     all      2.38      0.00      0.00      1.19      1.19     95.24
03:24:14 PM     all      1.18      0.00      2.35      0.00      0.00     96.47
03:24:15 PM     all      3.57      0.00      0.00      0.00      0.00     96.43
03:24:16 PM     all      4.55      0.00      2.27      0.00      1.14     92.05
03:24:17 PM     all     31.58      1.05      9.47      0.00      0.00     57.89
03:24:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:19 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:24:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:21 PM     all      6.06      0.00      0.00      0.00      0.00     93.94
03:24:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:23 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
03:24:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:26 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:24:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:29 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:24:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:34 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:24:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
