Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/01/2017 	_x86_64_	(1 CPU)

03:34:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:34:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:11 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:34:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:13 PM     all      1.98      0.00      0.00      0.00      0.00     98.02
03:34:14 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:34:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:22 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:34:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:26 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:34:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:30 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
03:34:31 PM     all     11.11      0.00      0.00      0.00      0.00     88.89
03:34:32 PM     all      6.82      0.00      1.14      0.00      1.14     90.91
03:34:33 PM     all      3.45      0.00      2.30      0.00      0.00     94.25
03:34:34 PM     all      4.55      0.00      2.27      0.00      1.14     92.05
03:34:35 PM     all      4.76      0.00      2.38      1.19      0.00     91.67
03:34:36 PM     all      4.60      0.00      2.30      0.00      1.15     91.95
03:34:37 PM     all      3.53      0.00      2.35      0.00      0.00     94.12
03:34:38 PM     all      3.53      0.00      3.53      0.00      1.18     91.76
03:34:39 PM     all      3.61      0.00      1.20      0.00      0.00     95.18
03:34:40 PM     all     30.34      0.00      5.62      1.12      0.00     62.92
03:34:41 PM     all     64.58      8.33      3.12      0.00      1.04     22.92
03:34:42 PM     all     37.78      3.33      7.78      5.56      0.00     45.56
03:34:43 PM     all      9.41      4.71      5.88      1.18      1.18     77.65
03:34:44 PM     all     10.59      4.71      3.53      3.53      0.00     77.65
03:34:45 PM     all      6.17      3.70      1.23      3.70      0.00     85.19
03:34:46 PM     all      2.38      2.38      4.76      2.38      1.19     86.90
03:34:47 PM     all      3.33      2.22      4.44      5.56      1.11     83.33
03:34:48 PM     all     11.22      2.04      1.02      2.04      0.00     83.67
03:34:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:52 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
03:34:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:56 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:34:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:34:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:02 PM     all      0.00      0.00      0.00      3.03      0.00     96.97
03:35:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:35:10 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
