Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/01/2017 	_x86_64_	(1 CPU)

03:41:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:41:01 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:41:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:04 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
03:41:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:07 PM     all      1.98      0.00      0.00      0.00      0.00     98.02
03:41:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:10 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:41:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:14 PM     all      0.99      0.00      0.00      1.98      0.00     97.03
03:41:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:18 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:41:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:22 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
03:41:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:26 PM     all      4.04      0.00      0.00      0.00      0.00     95.96
03:41:27 PM     all      1.16      0.00      2.33      0.00      0.00     96.51
03:41:28 PM     all      2.30      0.00      2.30      0.00      1.15     94.25
03:41:29 PM     all      5.68      0.00      1.14      0.00      0.00     93.18
03:41:30 PM     all     16.85      0.00      1.12      2.25      1.12     78.65
03:41:31 PM     all      4.60      0.00      2.30      0.00      0.00     93.10
03:41:32 PM     all      2.35      0.00      1.18      0.00      0.00     96.47
03:41:33 PM     all      2.30      0.00      3.45      0.00      1.15     93.10
03:41:34 PM     all      3.41      0.00      2.27      0.00      0.00     94.32
03:41:35 PM     all      1.18      0.00      2.35      0.00      1.18     95.29
03:41:36 PM     all      1.18      0.00      2.35      0.00      0.00     96.47
03:41:37 PM     all     15.38      0.00      6.59      1.10      1.10     75.82
03:41:38 PM     all      2.27      0.00      4.55      3.41      0.00     89.77
03:41:39 PM     all      1.16      0.00      1.16      0.00      1.16     96.51
03:41:40 PM     all      1.19      0.00      1.19      3.57      0.00     94.05
03:41:41 PM     all      1.19      0.00      1.19      0.00      0.00     97.62
03:41:42 PM     all      3.12      0.00      0.00      0.00      1.04     95.83
03:41:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:45 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:41:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:48 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:41:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:50 PM     all      0.00      0.00      0.00      1.02      0.00     98.98
03:41:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:54 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
03:41:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:41:59 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:42:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:03 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:42:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:10 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:42:11 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:42:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:42:13 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:42:14 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
03:42:15 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
03:42:16 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
03:42:17 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:42:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
