Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/26/2016 	_x86_64_	(1 CPU)

10:55:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:55:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:30 PM     all      0.99      0.00      0.00      0.00      0.99     98.02
10:55:31 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
10:55:32 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
10:55:33 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
10:55:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:37 PM     all      1.98      0.00      0.00      0.00      0.00     98.02
10:55:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
10:55:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:41 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
10:55:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:43 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
10:55:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:47 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
10:55:48 PM     all     40.40      0.00      0.00      0.00      0.00     59.60
10:55:49 PM     all     76.53      0.00      1.02      0.00      0.00     22.45
10:55:50 PM     all     66.67      0.00      2.08      0.00      0.00     31.25
10:55:51 PM     all     50.54      0.00      3.23      0.00      0.00     46.24
10:55:52 PM     all      6.00      0.00      0.00      0.00      0.00     94.00
10:55:53 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
10:55:54 PM     all      1.00      0.00      0.00      1.00      0.00     98.00
10:55:55 PM     all      4.00      0.00      0.00      0.00      0.00     96.00
10:55:56 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
10:55:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:58 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
10:55:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:56:00 PM     all      1.00      0.00      1.00      0.00      0.00     98.00
10:56:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:56:02 PM     all      0.99      0.00      0.00      0.00      0.99     98.02
10:56:03 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
10:56:04 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
10:56:05 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
10:56:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:56:07 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
10:56:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:56:09 PM     all      0.99      0.00      0.99      0.00      0.00     98.02
