Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/03/2017 	_x86_64_	(1 CPU)

08:43:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:43:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:56 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:43:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:58 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:43:59 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:44:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:01 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
08:44:02 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
08:44:03 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:44:04 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
08:44:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:15 PM     all      2.00      0.00      0.00      2.00      0.00     96.00
08:44:16 PM     all      0.00      0.00      0.00      1.02      0.00     98.98
08:44:17 PM     all     23.53      0.00      1.96      0.98      0.00     73.53
08:44:18 PM     all     86.87      0.00      2.02      0.00      0.00     11.11
08:44:19 PM     all     95.96      0.00      3.03      0.00      0.00      1.01
08:44:20 PM     all     84.69      0.00      4.08      0.00      0.00     11.22
08:44:21 PM     all     81.72      0.00      4.30      0.00      0.00     13.98
08:44:22 PM     all     44.94      0.00      3.37      0.00      0.00     51.69
08:44:23 PM     all     46.74      0.00      8.70      1.09      0.00     43.48
08:44:24 PM     all     51.61      0.00      8.60      2.15      1.08     36.56
08:44:25 PM     all     81.44      0.00     10.31      0.00      0.00      8.25
08:44:26 PM     all     79.38      0.00      5.15      0.00      0.00     15.46
08:44:27 PM     all     79.17      0.00      5.21      0.00      0.00     15.62
08:44:28 PM     all     90.00      0.00      5.00      0.00      0.00      5.00
08:44:29 PM     all     68.09      0.00      4.26      0.00      0.00     27.66
08:44:30 PM     all     56.38      0.00      6.38      1.06      1.06     35.11
08:44:31 PM     all     68.48      0.00      7.61      0.00      0.00     23.91
08:44:32 PM     all     48.31      0.00      5.62      0.00      0.00     46.07
08:44:33 PM     all     24.42      0.00      5.81      2.33      1.16     66.28
08:44:34 PM     all     15.48      0.00      7.14      0.00      0.00     77.38
08:44:35 PM     all     22.35      0.00      3.53      2.35      1.18     70.59
08:44:36 PM     all     43.33      0.00     10.00      2.22      0.00     44.44
08:44:37 PM     all     71.00     19.00      9.00      1.00      0.00      0.00
08:44:38 PM     all     61.05      6.32     12.63      0.00      0.00     20.00
08:44:39 PM     all     54.26      4.26      9.57      3.19      0.00     28.72
08:44:40 PM     all     65.31      6.12      8.16      0.00      1.02     19.39
08:44:41 PM     all     29.55      5.68      7.95      1.14      0.00     55.68
08:44:42 PM     all     33.33      3.33     10.00      4.44      1.11     47.78
08:44:43 PM     all     25.88      4.71     10.59      1.18      0.00     57.65
08:44:44 PM     all     86.14      3.96      9.90      0.00      0.00      0.00
08:44:45 PM     all     80.61      3.06     11.22      1.02      0.00      4.08
08:44:46 PM     all     27.59      0.00      5.75      0.00      0.00     66.67
08:44:47 PM     all     29.07      0.00     10.47      5.81      1.16     53.49
08:44:48 PM     all     80.61      0.00      6.12      0.00      0.00     13.27
08:44:49 PM     all     42.39      0.00      1.09      0.00      0.00     56.52
08:44:50 PM     all     72.45      0.00      4.08      0.00      1.02     22.45
08:44:51 PM     all     32.65      0.00      0.00      0.00      0.00     67.35
08:44:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:00 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
08:45:01 PM     all      0.00      0.00      0.95      2.86      3.81     92.38
08:45:02 PM     all      0.00      0.00      0.00      0.00      1.98     98.02
08:45:03 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
08:45:04 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:45:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:06 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
08:45:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:12 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
08:45:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:15 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
08:45:16 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
08:45:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:18 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:45:19 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:45:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:21 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:45:22 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:45:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:34 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
08:45:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:40 PM     all     24.49      0.00      2.04      0.00      0.00     73.47
08:45:41 PM     all     84.16      0.00     15.84      0.00      0.00      0.00
08:45:42 PM     all     83.84      0.00     16.16      0.00      0.00      0.00
08:45:43 PM     all     81.00      0.00     19.00      0.00      0.00      0.00
08:45:44 PM     all     77.23      0.00     21.78      0.99      0.00      0.00
08:45:45 PM     all     86.00      0.00     14.00      0.00      0.00      0.00
