Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/03/2017 	_x86_64_	(1 CPU)

11:52:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:52:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:39 PM     all      5.00      0.00      0.00      0.00      0.00     95.00
11:52:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:42 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:52:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:44 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:52:45 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
11:52:46 PM     all      0.98      0.00      0.98      0.00      0.00     98.04
11:52:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:49 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
11:52:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:52:51 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
11:52:52 PM     all     36.36      0.00      0.00      0.00      0.00     63.64
11:52:53 PM     all     79.80      0.00      7.07      0.00      0.00     13.13
11:52:54 PM     all     82.47      0.00      5.15      0.00      0.00     12.37
11:52:55 PM     all     82.47      0.00      6.19      0.00      0.00     11.34
11:52:56 PM     all     84.85      0.00      5.05      0.00      0.00     10.10
11:52:57 PM     all     65.96      0.00      6.38      0.00      0.00     27.66
11:52:58 PM     all     71.28      0.00      4.26      1.06      0.00     23.40
11:52:59 PM     all     67.37      0.00      5.26      0.00      1.05     26.32
11:53:00 PM     all     79.80      0.00      8.08      0.00      0.00     12.12
11:53:01 PM     all     74.75     11.11     13.13      1.01      0.00      0.00
11:53:02 PM     all     65.00     19.00     16.00      0.00      0.00      0.00
11:53:03 PM     all     78.79      5.05     10.10      0.00      0.00      6.06
11:53:04 PM     all     85.86      3.03     10.10      0.00      0.00      1.01
11:53:05 PM     all     77.00      6.00     12.00      0.00      0.00      5.00
11:53:06 PM     all     78.00      4.00     13.00      0.00      1.00      4.00
11:53:07 PM     all     75.76      3.03     17.17      0.00      0.00      4.04
11:53:08 PM     all     86.87      3.03     10.10      0.00      0.00      0.00
11:53:09 PM     all     57.14      5.49      6.59      1.10      0.00     29.67
11:53:10 PM     all     68.48      5.43      6.52      0.00      0.00     19.57
