Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/04/2017 	_x86_64_	(1 CPU)

02:26:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:26:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:03 AM     all      0.00      0.00      0.00      0.00      1.00     99.00
02:27:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:06 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:27:07 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:27:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:09 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:27:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:12 AM     all      0.00      0.00      0.98      0.98      0.00     98.04
02:27:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:18 AM     all     22.22      0.00      0.00      0.00      0.00     77.78
02:27:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:21 AM     all     32.99      0.00      3.09      0.00      0.00     63.92
02:27:22 AM     all     39.56      0.00      4.40      0.00      0.00     56.04
02:27:23 AM     all     28.41      0.00     13.64      1.14      0.00     56.82
02:27:24 AM     all      3.70      0.00      1.23      0.00      1.23     93.83
02:27:25 AM     all      6.10      0.00      2.44      3.66      1.22     86.59
02:27:26 AM     all     20.48      0.00      4.82      1.20      0.00     73.49
02:27:27 AM     all      7.23      0.00      3.61      2.41      1.20     85.54
02:27:28 AM     all     52.75      0.00      3.30      0.00      0.00     43.96
02:27:29 AM     all     76.29      0.00      4.12      0.00      0.00     19.59
02:27:30 AM     all     25.29      0.00      9.20      0.00      1.15     64.37
02:27:31 AM     all     11.25      0.00      2.50      1.25      0.00     85.00
02:27:32 AM     all     29.89      0.00      4.60      0.00      0.00     65.52
02:27:33 AM     all     13.95      0.00      5.81      0.00      1.16     79.07
02:27:34 AM     all      3.66      0.00      3.66      0.00      1.22     91.46
02:27:35 AM     all      4.82      0.00      3.61      0.00      0.00     91.57
02:27:36 AM     all     16.87      0.00     14.46      7.23      0.00     61.45
02:27:37 AM     all      3.70      0.00      2.47      1.23      1.23     91.36
02:27:38 AM     all      2.47      0.00      3.70      1.23      1.23     91.36
02:27:39 AM     all      6.10      0.00      4.88      0.00      0.00     89.02
02:27:40 AM     all      3.66      0.00      2.44      0.00      1.22     92.68
02:27:41 AM     all      4.88      0.00      3.66      0.00      1.22     90.24
02:27:42 AM     all     10.71      0.00      4.76      2.38      0.00     82.14
02:27:43 AM     all     62.77     11.70     12.77      3.19      0.00      9.57
02:27:44 AM     all     15.66      4.82      9.64      0.00      1.20     68.67
02:27:45 AM     all     29.89      5.75      6.90      1.15      0.00     56.32
02:27:46 AM     all      4.94      4.94      9.88      3.70      1.23     75.31
02:27:47 AM     all      8.64      4.94      7.41      2.47      0.00     76.54
02:27:48 AM     all      9.64      2.41      8.43      0.00      1.20     78.31
02:27:49 AM     all     11.90      3.57     15.48      8.33      0.00     60.71
02:27:50 AM     all      9.30      2.33     11.63      0.00      1.16     75.58
02:27:51 AM     all     20.24      0.00      5.95      3.57      0.00     70.24
02:27:52 AM     all      4.04      0.00      1.01      0.00      0.00     94.95
02:27:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:54 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:27:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:56 AM     all      0.00      0.00      2.00      1.00      0.00     97.00
02:27:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:58 AM     all      0.00      0.00      0.00      0.99      0.00     99.01
02:27:59 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:28:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:01 AM     all      0.00      0.00      0.00      0.00      0.99     99.01
02:28:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:06 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:28:07 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:28:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:13 AM     all      0.00      0.00      0.00      0.00      0.99     99.01
02:28:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:16 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:28:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:24 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:28:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:26 AM     all      0.99      0.00      0.00      0.99      0.00     98.02
02:28:27 AM     all      1.00      0.00      1.00      5.00      0.00     93.00
02:28:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:29 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:28:30 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:28:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:33 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:28:34 AM     all      2.00      0.00      1.00      0.00      0.00     97.00
02:28:35 AM     all      8.00      0.00      0.00      0.00      0.00     92.00
02:28:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:38 AM     all     63.00      0.00      5.00      0.00      0.00     32.00
02:28:39 AM     all     79.59      0.00     13.27      1.02      0.00      6.12
02:28:40 AM     all     63.92      0.00     24.74      8.25      0.00      3.09
02:28:41 AM     all     80.00      0.00     12.63      1.05      0.00      6.32
02:28:42 AM     all     45.88      0.00     11.76     28.24      0.00     14.12
02:28:43 AM     all     20.00      0.00     18.82     45.88      1.18     14.12
02:28:44 AM     all     40.48      0.00     13.10      5.95      0.00     40.48
02:28:45 AM     all     61.70      0.00     24.47     12.77      1.06      0.00
02:28:46 AM     all     24.14      0.00     10.34      4.60      0.00     60.92
02:28:47 AM     all     27.91      0.00      8.14      3.49      0.00     60.47
02:28:48 AM     all     24.39      0.00     13.41     31.71      1.22     29.27
02:28:49 AM     all     81.00      0.00     19.00      0.00      0.00      0.00
02:28:50 AM     all     72.45      0.00     20.41      3.06      0.00      4.08
02:28:51 AM     all     50.00      0.00      9.30     39.53      0.00      1.16
02:28:52 AM     all     32.14      0.00     10.71     40.48      1.19     15.48
02:28:53 AM     all     48.19      0.00      9.64     13.25      0.00     28.92
02:28:54 AM     all     59.57      0.00     10.64     22.34      0.00      7.45
02:28:55 AM     all     51.09      0.00     13.04     35.87      0.00      0.00
02:28:56 AM     all     22.89      0.00     12.05     38.55      1.20     25.30
02:28:57 AM     all     29.87      0.00     10.39     11.69      0.00     48.05
02:28:58 AM     all     17.28      0.00     16.05     14.81      1.23     50.62
02:28:59 AM     all      9.52      0.00     14.29     69.05      0.00      7.14
02:29:00 AM     all     15.19      0.00     13.92     46.84      1.27     22.78
02:29:01 AM     all     11.49      1.15      6.90      8.05      0.00     72.41
02:29:02 AM     all     24.10      0.00     10.84     19.28      1.20     44.58
02:29:03 AM     all     21.92      0.00     12.33     38.36      0.00     27.40
02:29:04 AM     all      7.59      0.00      8.86     39.24      1.27     43.04
02:29:05 AM     all      3.49      0.00      4.65      4.65      0.00     87.21
02:29:06 AM     all     19.75      0.00     23.46     30.86      1.23     24.69
02:29:07 AM     all     18.42      0.00     17.11     48.68      0.00     15.79
02:29:08 AM     all     17.28      0.00      9.88      4.94      1.23     66.67
02:29:09 AM     all     30.86      0.00      6.17     34.57      0.00     28.40
02:29:10 AM     all     58.70      0.00     10.87      3.26      1.09     26.09
02:29:11 AM     all     13.92      0.00     11.39     31.65      0.00     43.04
02:29:12 AM     all     11.11      0.00      7.41     48.15      1.23     32.10
02:29:13 AM     all      9.09      0.00      9.09     12.99      0.00     68.83
02:29:14 AM     all     10.84      0.00      6.02     16.87      1.20     65.06
02:29:15 AM     all     17.57      0.00     14.86     44.59      0.00     22.97
02:29:16 AM     all     10.98      0.00     10.98      4.88      1.22     71.95
02:29:17 AM     all     22.22      0.00     16.05     32.10      0.00     29.63
02:29:18 AM     all     21.95      0.00     15.85     54.88      1.22      6.10
02:29:19 AM     all     25.00     20.24     10.71      8.33      0.00     35.71
02:29:20 AM     all     23.75     12.50     10.00     27.50      0.00     26.25
02:29:21 AM     all     20.24      7.14     13.10     55.95      1.19      2.38
02:29:22 AM     all     19.28     14.46     13.25     27.71      1.20     24.10
02:29:23 AM     all     26.58      1.27     16.46     16.46      0.00     39.24
02:29:24 AM     all     13.92      0.00      8.86     65.82      0.00     11.39
02:29:25 AM     all      9.59      0.00      8.22     31.51      1.37     49.32
02:29:26 AM     all     18.18      0.00      9.09     32.47      1.30     38.96
02:29:27 AM     all     15.66      0.00     18.07     15.66      0.00     50.60
02:29:28 AM     all      1.03      0.00      0.00      1.03      0.00     97.94
02:29:29 AM     all      2.02      0.00      0.00      0.00      0.00     97.98
02:29:30 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:29:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:35 AM     all      2.97      0.00      0.99      0.00      0.00     96.04
02:29:36 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:29:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:38 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:29:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:40 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:29:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:42 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:29:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:44 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:45 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:29:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:47 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
