Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/03/2017 	_x86_64_	(1 CPU)

08:54:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:54:30 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:54:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:34 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:54:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:38 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:54:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:45 PM     all      1.98      0.00      0.00      0.00      0.00     98.02
08:54:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:50 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
08:54:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:54:53 PM     all     32.00      0.00      2.00      0.00      0.00     66.00
08:54:54 PM     all     91.00      0.00      4.00      0.00      0.00      5.00
08:54:55 PM     all     67.71      0.00      3.12      0.00      1.04     28.12
08:54:56 PM     all     61.70      0.00      8.51      0.00      0.00     29.79
