Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/03/2017 	_x86_64_	(1 CPU)

11:02:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:02:34 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
11:02:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:02:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:47 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
11:02:48 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:02:49 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:02:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:51 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:02:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:02:54 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
11:02:55 PM     all     24.00      0.00      3.00      0.00      0.00     73.00
11:02:56 PM     all     89.00      0.00      3.00      0.00      0.00      8.00
11:02:57 PM     all     85.86      0.00      4.04      0.00      0.00     10.10
11:02:58 PM     all     71.58      0.00      7.37      0.00      0.00     21.05
11:02:59 PM     all     75.79      0.00      6.32      0.00      0.00     17.89
11:03:00 PM     all     59.14      0.00      6.45      0.00      1.08     33.33
11:03:01 PM     all     44.44      0.00      6.67      0.00      0.00     48.89
11:03:02 PM     all     71.58      0.00      2.11      0.00      1.05     25.26
11:03:03 PM     all     67.37      0.00      6.32      1.05      0.00     25.26
11:03:04 PM     all     86.00      0.00     11.00      0.00      0.00      3.00
11:03:05 PM     all     79.79      0.00      4.26      0.00      0.00     15.96
11:03:06 PM     all     58.95      0.00      8.42      0.00      0.00     32.63
11:03:07 PM     all     72.63      0.00      5.26      0.00      0.00     22.11
11:03:08 PM     all     69.23      0.00      5.49      0.00      0.00     25.27
11:03:09 PM     all     58.43      0.00      4.49      1.12      1.12     34.83
11:03:10 PM     all     89.00      0.00     11.00      0.00      0.00      0.00
11:03:11 PM     all     96.00      0.00      4.00      0.00      0.00      0.00
11:03:12 PM     all     45.74      0.00      7.45      1.06      0.00     45.74
11:03:13 PM     all     73.40      0.00      5.32      0.00      0.00     21.28
11:03:14 PM     all     45.98      0.00      4.60      0.00      1.15     48.28
11:03:15 PM     all     32.14      0.00      3.57      0.00      0.00     64.29
11:03:16 PM     all     59.14      6.45     11.83      1.08      0.00     21.51
11:03:17 PM     all     69.00     20.00     11.00      0.00      0.00      0.00
11:03:18 PM     all     43.02      6.98      6.98      0.00      1.16     41.86
11:03:19 PM     all     47.73      5.68      9.09      0.00      0.00     37.50
11:03:20 PM     all     31.82      5.68     12.50      2.27      1.14     46.59
11:03:21 PM     all     11.90      8.33      8.33      2.38      0.00     69.05
11:03:22 PM     all     46.59      4.55     13.64      2.27      0.00     32.95
11:03:23 PM     all     31.82      5.68     10.23      3.41      1.14     47.73
11:03:24 PM     all     43.18      5.68     13.64      3.41      0.00     34.09
11:03:25 PM     all     58.51      3.19     10.64      0.00      0.00     27.66
11:03:26 PM     all     52.63      3.16      9.47      1.05      1.05     32.63
11:03:27 PM     all     40.00      3.53      5.88     11.76      0.00     38.82
11:03:28 PM     all     61.05      3.16     14.74      0.00      0.00     21.05
11:03:29 PM     all     77.00      3.00     13.00      0.00      0.00      7.00
11:03:30 PM     all     34.09      4.55      5.68      0.00      1.14     54.55
11:03:31 PM     all     31.11      4.44     10.00      1.11      0.00     53.33
11:03:32 PM     all     36.67      4.44      8.89      1.11      1.11     47.78
11:03:33 PM     all     33.33      2.30     12.64      3.45      0.00     48.28
11:03:34 PM     all     46.67      5.56      7.78      2.22      0.00     37.78
11:03:35 PM     all     23.26      4.65      9.30      1.16      1.16     60.47
11:03:36 PM     all     10.71      4.76      8.33      0.00      1.19     75.00
11:03:37 PM     all     19.05      5.95      8.33      2.38      0.00     64.29
11:03:38 PM     all     26.44      4.60     10.34      1.15      0.00     57.47
11:03:39 PM     all     44.21      5.26     15.79      6.32      1.05     27.37
11:03:40 PM     all     90.00      3.00      7.00      0.00      0.00      0.00
11:03:41 PM     all     43.18      2.27      6.82      1.14      0.00     46.59
11:03:42 PM     all     11.76      3.53      8.24      1.18      1.18     74.12
11:03:43 PM     all     11.11      3.70      8.64      1.23      0.00     75.31
11:03:44 PM     all     36.05      4.65      8.14      2.33      1.16     47.67
11:03:45 PM     all      8.79      4.40      5.49      2.20      1.10     78.02
11:03:46 PM     all      0.00      3.09      3.09      0.00      0.00     93.81
11:03:47 PM     all      0.00      1.04      2.08      2.08      0.00     94.79
11:03:48 PM     all      4.04      4.04      2.02      1.01      0.00     88.89
11:03:49 PM     all      1.02      2.04      3.06      1.02      1.02     91.84
11:03:50 PM     all      0.00      5.15      1.03      1.03      0.00     92.78
11:03:51 PM     all      0.00      3.06      2.04      2.04      0.00     92.86
11:03:52 PM     all      1.01      4.04      2.02      1.01      1.01     90.91
11:03:53 PM     all      0.00      4.08      2.04      2.04      0.00     91.84
11:03:54 PM     all      0.00      2.08      2.08      0.00      0.00     95.83
11:03:55 PM     all      0.00      2.11      1.05      3.16      0.00     93.68
11:03:56 PM     all      0.00      2.11      0.00      3.16      1.05     93.68
11:03:57 PM     all      4.12      3.09      1.03      5.15      0.00     86.60
11:03:58 PM     all      0.00      4.04      2.02      4.04      0.00     89.90
11:03:59 PM     all      0.00      2.04      2.04      0.00      1.02     94.90
11:04:00 PM     all      2.04      2.04      2.04      1.02      0.00     92.86
11:04:01 PM     all     21.00      5.00      4.00      0.00      0.00     70.00
11:04:02 PM     all      1.03      1.03      2.06      1.03      0.00     94.85
11:04:03 PM     all      0.00      3.06      2.04      0.00      0.00     94.90
11:04:04 PM     all      0.00      1.02      1.02      1.02      1.02     95.92
11:04:05 PM     all      0.00      1.04      2.08      2.08      0.00     94.79
11:04:06 PM     all      0.00      2.06      3.09      0.00      0.00     94.85
11:04:07 PM     all      0.00      2.97      2.97      1.98      0.99     91.09
11:04:08 PM     all      0.00      3.03      2.02      1.01      0.00     93.94
11:04:09 PM     all      1.04      2.08      1.04      0.00      0.00     95.83
11:04:10 PM     all      0.00      2.08      2.08      0.00      0.00     95.83
11:04:11 PM     all      1.02      2.04      2.04     21.43      1.02     72.45
11:04:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:14 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
11:04:15 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
11:04:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:17 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
11:04:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:19 PM     all      0.99      0.99      0.00      0.00      0.00     98.02
11:04:20 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
11:04:21 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:04:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:35 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
11:04:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:04:42 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:04:43 PM     all     50.52      0.00      4.12      0.00      0.00     45.36
11:04:44 PM     all     85.15      0.00     12.87      1.98      0.00      0.00
11:04:45 PM     all     93.00      0.00      2.00      1.00      0.00      4.00
11:04:46 PM     all     82.47      0.00     10.31      0.00      0.00      7.22
11:04:47 PM     all     69.07      0.00      6.19     14.43      1.03      9.28
11:04:48 PM     all     66.67      0.00      9.38      1.04      0.00     22.92
11:04:49 PM     all     85.00      0.00     14.00      0.00      0.00      1.00
11:04:50 PM     all     62.64      0.00      4.40     13.19      0.00     19.78
11:04:51 PM     all     41.94      0.00     10.75      2.15      0.00     45.16
11:04:52 PM     all     60.00      0.00     13.68      1.05      0.00     25.26
11:04:53 PM     all     47.31      0.00     11.83      8.60      0.00     32.26
11:04:54 PM     all     45.56      0.00      8.89     25.56      1.11     18.89
11:04:55 PM     all     75.76      0.00      8.08     16.16      0.00      0.00
11:04:56 PM     all     43.96      0.00      6.59      1.10      0.00     48.35
11:04:57 PM     all     32.58      0.00      4.49      6.74      1.12     55.06
11:04:58 PM     all     65.26      0.00     11.58      4.21      0.00     18.95
11:04:59 PM     all     54.44      0.00      3.33      2.22      0.00     40.00
11:05:00 PM     all     29.89      0.00     11.49      4.60      0.00     54.02
11:05:01 PM     all     15.73      0.00      7.87     11.24      1.12     64.04
11:05:02 PM     all     17.07      0.00      6.10      9.76      0.00     67.07
11:05:03 PM     all     45.56      0.00     12.22     15.56      1.11     25.56
11:05:04 PM     all     15.48      0.00      4.76     30.95      0.00     48.81
11:05:05 PM     all     64.21      0.00      6.32      1.05      0.00     28.42
11:05:06 PM     all     88.12      0.00     11.88      0.00      0.00      0.00
11:05:07 PM     all     48.89      0.00      4.44     46.67      0.00      0.00
11:05:08 PM     all     36.36      0.00      6.82     31.82      1.14     23.86
11:05:09 PM     all     43.33      0.00      3.33      1.11      0.00     52.22
11:05:10 PM     all     38.37      0.00     10.47     23.26      1.16     26.74
11:05:11 PM     all     62.50      0.00      6.25     15.62      0.00     15.62
11:05:12 PM     all     52.81      0.00     10.11     20.22      0.00     16.85
11:05:13 PM     all     31.76      0.00      5.88     43.53      0.00     18.82
11:05:14 PM     all     48.35      0.00      8.79     12.09      0.00     30.77
11:05:15 PM     all     42.86      0.00     10.99     14.29      1.10     30.77
11:05:16 PM     all     17.65      0.00      5.88     29.41      0.00     47.06
11:05:17 PM     all      7.14      0.00      4.76     10.71      1.19     76.19
11:05:18 PM     all     12.50      0.00     10.00     20.00      0.00     57.50
11:05:19 PM     all     13.95      0.00      3.49     36.05      1.16     45.35
11:05:20 PM     all      4.76      0.00      2.38      5.95      0.00     86.90
11:05:21 PM     all     17.24      0.00     10.34     39.08      1.15     32.18
11:05:22 PM     all      9.76      0.00      4.88     39.02      0.00     46.34
11:05:23 PM     all      8.24      0.00      0.00      3.53      0.00     88.24
11:05:24 PM     all      7.14      0.00     14.29     48.81      1.19     28.57
11:05:25 PM     all      3.61      0.00      2.41     31.33      0.00     62.65
11:05:26 PM     all      3.49      0.00      1.16      2.33      1.16     91.86
11:05:27 PM     all      4.76      0.00      5.95      9.52      0.00     79.76
11:05:28 PM     all     14.12      0.00     11.76     37.65      1.18     35.29
11:05:29 PM     all      2.35      0.00      2.35      3.53      0.00     91.76
11:05:30 PM     all     10.84      0.00     13.25     30.12      1.20     44.58
11:05:31 PM     all      7.23      0.00      3.61     63.86      0.00     25.30
11:05:32 PM     all      3.53      0.00      1.18      9.41      0.00     85.88
11:05:33 PM     all      5.75      0.00      4.60     10.34      1.15     78.16
11:05:34 PM     all      2.30      0.00      2.30      6.90      0.00     88.51
11:05:35 PM     all      1.14      0.00      0.00      2.27      1.14     95.45
11:05:36 PM     all      0.00      0.00      2.30      1.15      0.00     96.55
11:05:37 PM     all      2.20      0.00      1.10      2.20      0.00     94.51
11:05:38 PM     all      2.22      0.00      1.11      2.22      1.11     93.33
11:05:39 PM     all      0.00      0.00      0.00      3.45      0.00     96.55
11:05:40 PM     all      4.49      0.00      6.74      7.87      1.12     79.78
11:05:41 PM     all      7.95      0.00     11.36     12.50      0.00     68.18
11:05:42 PM     all      2.50      0.00      2.50     40.00      0.00     55.00
11:05:43 PM     all      2.20      0.00      3.30      2.20      1.10     91.21
11:05:44 PM     all     22.89      0.00      7.23     53.01      0.00     16.87
11:05:45 PM     all      6.98      0.00      3.49     46.51      1.16     41.86
