Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/04/2017 	_x86_64_	(1 CPU)

01:43:02 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:43:03 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:43:04 AM     all      0.98      0.00      0.00      0.00      0.98     98.04
01:43:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:07 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
01:43:08 AM     all      0.99      0.00      0.99      0.00      0.00     98.02
01:43:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:18 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:43:19 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:43:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:21 AM     all     25.00      0.00      0.00      1.04      0.00     73.96
01:43:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:26 AM     all     25.25      0.00      0.00      0.00      0.00     74.75
01:43:27 AM     all     82.83      0.00      4.04      0.00      0.00     13.13
01:43:28 AM     all     67.37      0.00      5.26      0.00      0.00     27.37
01:43:29 AM     all     67.39      0.00      4.35      0.00      0.00     28.26
01:43:30 AM     all     61.05      0.00      5.26      0.00      0.00     33.68
