Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/03/2017 	_x86_64_	(1 CPU)

09:02:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:02:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:23 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:02:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:28 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:02:29 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:02:30 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:02:31 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
09:02:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:36 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
09:02:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:39 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
09:02:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:41 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
09:02:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:02:45 PM     all     20.20      0.00      0.00      0.00      0.00     79.80
09:02:46 PM     all     81.82      0.00      1.01      0.00      0.00     17.17
09:02:47 PM     all     80.61      0.00      3.06      0.00      0.00     16.33
09:02:48 PM     all     86.00      0.00      7.00      0.00      0.00      7.00
09:02:49 PM     all     74.47      0.00      4.26      0.00      0.00     21.28
09:02:50 PM     all     60.22      0.00      5.38      0.00      1.08     33.33
09:02:51 PM     all     57.30      0.00      4.49      0.00      0.00     38.20
09:02:52 PM     all     56.99      0.00      6.45      2.15      0.00     34.41
09:02:53 PM     all     62.11      0.00      8.42      0.00      0.00     29.47
09:02:54 PM     all     67.02      0.00      4.26      0.00      1.06     27.66
09:02:55 PM     all     91.84      0.00      6.12      0.00      0.00      2.04
09:02:56 PM     all     93.07      0.00      6.93      0.00      0.00      0.00
09:02:57 PM     all     95.00      0.00      5.00      0.00      0.00      0.00
