Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/03/2017 	_x86_64_	(1 CPU)

11:12:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:12:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:58 PM     all      0.99      0.00      0.99      0.00      0.00     98.02
11:12:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:00 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
11:13:01 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:13:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:05 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:13:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:16 PM     all     26.47      0.00      0.98      0.98      0.00     71.57
11:13:17 PM     all     76.00      0.00      4.00      0.00      0.00     20.00
11:13:18 PM     all     86.87      0.00      7.07      0.00      0.00      6.06
11:13:19 PM     all     81.63      0.00      7.14      0.00      0.00     11.22
11:13:20 PM     all     71.58      0.00      4.21      0.00      1.05     23.16
11:13:21 PM     all     68.09      0.00      6.38      0.00      0.00     25.53
11:13:22 PM     all     54.35      0.00      7.61      0.00      0.00     38.04
11:13:23 PM     all     44.71      0.00      3.53      0.00      1.18     50.59
11:13:24 PM     all     64.77      0.00      4.55      0.00      0.00     30.68
11:13:25 PM     all     78.12      0.00     10.42      0.00      0.00     11.46
11:13:26 PM     all     75.53      0.00      4.26      0.00      0.00     20.21
11:13:27 PM     all     89.80      0.00      5.10      0.00      0.00      5.10
11:13:28 PM     all     76.04      0.00      5.21      0.00      0.00     18.75
11:13:29 PM     all     78.57      0.00      8.16      0.00      0.00     13.27
11:13:30 PM     all     87.00      0.00      8.00      0.00      0.00      5.00
11:13:31 PM     all     72.00     10.00     16.00      1.00      0.00      1.00
11:13:32 PM     all     71.00     19.00     10.00      0.00      0.00      0.00
11:13:33 PM     all     75.76      9.09     14.14      0.00      0.00      1.01
11:13:34 PM     all     75.51      7.14     11.22      0.00      0.00      6.12
11:13:35 PM     all     59.00      8.00      9.00      3.00      0.00     21.00
11:13:36 PM     all     34.83      5.62      8.99      1.12      1.12     48.31
11:13:37 PM     all     52.75      6.59     14.29      1.10      0.00     25.27
11:13:38 PM     all     44.44      0.00      5.56      0.00      1.11     48.89
11:13:39 PM     all     37.93      0.00      8.05      0.00      0.00     54.02
11:13:40 PM     all     55.43      0.00      7.61      2.17      0.00     34.78
11:13:41 PM     all     11.25      0.00      3.75      0.00      1.25     83.75
11:13:42 PM     all     38.46      0.00     14.29      1.10      0.00     46.15
11:13:43 PM     all     69.15      0.00      5.32      0.00      1.06     24.47
11:13:44 PM     all     76.29      0.00      5.15      0.00      0.00     18.56
11:13:45 PM     all     72.04      0.00      4.30      0.00      0.00     23.66
11:13:46 PM     all     54.95      0.00      7.69      0.00      0.00     37.36
11:13:47 PM     all     37.65      0.00      4.71      0.00      0.00     57.65
11:13:48 PM     all     45.05      0.00     10.99      1.10      1.10     41.76
11:13:49 PM     all     71.74      0.00      5.43      0.00      0.00     22.83
11:13:50 PM     all     67.39      0.00      3.26      2.17      0.00     27.17
11:13:51 PM     all     90.91      0.00      6.06      0.00      0.00      3.03
11:13:52 PM     all     46.59      0.00      3.41      0.00      1.14     48.86
11:13:53 PM     all     62.22      0.00      6.67      0.00      0.00     31.11
11:13:54 PM     all     48.96     17.71     16.67      2.08      0.00     14.58
11:13:55 PM     all     27.71      4.82      9.64      1.20      0.00     56.63
11:13:56 PM     all     16.67      4.76      7.14      2.38      1.19     67.86
11:13:57 PM     all     14.81      3.70      8.64      2.47      1.23     69.14
11:13:58 PM     all     29.41      4.71      8.24      1.18      0.00     56.47
11:13:59 PM     all     37.50      5.68     10.23      7.95      1.14     37.50
11:14:00 PM     all      3.80      5.06     10.13      2.53      0.00     78.48
11:14:01 PM     all      8.14      5.81     10.47      1.16      1.16     73.26
11:14:02 PM     all     13.48      2.25      7.87      2.25      4.49     69.66
11:14:03 PM     all     12.05      0.00      2.41      2.41      1.20     81.93
