Linux 3.13.0-100-generic (ip-172-31-5-56) 	01/04/2017 	_x86_64_	(1 CPU)

02:18:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:18:01 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:18:02 AM     all      4.95      0.00      0.00      0.00      0.00     95.05
02:18:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:04 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:18:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:06 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:18:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:08 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:18:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:10 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:18:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:13 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:18:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:15 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:18:16 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:18:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:20 AM     all     24.49      0.00      0.00      1.02      0.00     74.49
02:18:21 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:18:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:23 AM     all      3.00      0.00      0.00      0.00      0.00     97.00
02:18:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:18:25 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:18:26 AM     all     85.71      0.00      4.08      0.00      0.00     10.20
02:18:27 AM     all     69.47      0.00      3.16      0.00      0.00     27.37
02:18:28 AM     all     60.42      0.00      5.21      0.00      0.00     34.38
02:18:29 AM     all     62.64      0.00      4.40      0.00      1.10     31.87
02:18:30 AM     all     61.11      0.00      2.22      0.00      0.00     36.67
02:18:31 AM     all     38.20      0.00      5.62      0.00      0.00     56.18
02:18:32 AM     all     55.43      0.00      4.35      1.09      1.09     38.04
02:18:33 AM     all     56.52      0.00      5.43      1.09      0.00     36.96
02:18:34 AM     all     61.96      0.00      4.35      0.00      0.00     33.70
02:18:35 AM     all     81.00      6.00     13.00      0.00      0.00      0.00
02:18:36 AM     all     71.00     15.00     14.00      0.00      0.00      0.00
02:18:37 AM     all     72.00     17.00      9.00      2.00      0.00      0.00
02:18:38 AM     all     85.15      7.92      6.93      0.00      0.00      0.00
02:18:39 AM     all     71.58      8.42      8.42      0.00      0.00     11.58
02:18:40 AM     all     75.00      5.21      7.29      0.00      0.00     12.50
02:18:41 AM     all     69.47      4.21      6.32      1.05      0.00     18.95
02:18:42 AM     all     85.86      6.06      6.06      1.01      0.00      1.01
02:18:43 AM     all     65.96      4.26      9.57      0.00      0.00     20.21
