Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/30/2016 	_x86_64_	(1 CPU)

11:06:13 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:06:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:19 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:06:20 AM     all      0.00      0.00      0.00      0.99      0.99     98.02
11:06:21 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:06:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:23 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:06:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:26 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:06:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:29 AM     all      0.00      0.00      0.00      2.00      0.00     98.00
11:06:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:32 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
11:06:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:44 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
11:06:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:50 AM     all      0.00      0.00      0.00      1.01      0.00     98.99
11:06:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:06:58 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:06:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:01 AM     all      0.99      0.00      0.99      0.00      0.00     98.02
11:07:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:03 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:07:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:05 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:07:06 AM     all      0.00      0.00      0.00      0.00      1.00     99.00
11:07:07 AM     all     17.17      0.00      1.01      0.00      0.00     81.82
11:07:08 AM     all     72.92      0.00      1.04      0.00      0.00     26.04
11:07:09 AM     all     46.32      0.00      2.11      0.00      0.00     51.58
11:07:10 AM     all     41.94      0.00      1.08      0.00      0.00     56.99
11:07:11 AM     all      6.74      0.00      1.12      0.00      0.00     92.13
11:07:12 AM     all      4.55      0.00      2.27      0.00      0.00     93.18
11:07:13 AM     all      6.52      0.00      2.17      0.00      1.09     90.22
11:07:14 AM     all     46.81      0.00      1.06      1.06      0.00     51.06
11:07:15 AM     all      4.44      0.00      1.11      0.00      0.00     94.44
11:07:16 AM     all     34.74      0.00      3.16      0.00      1.05     61.05
11:07:17 AM     all     19.78      0.00      1.10      0.00      0.00     79.12
11:07:18 AM     all     12.36      0.00      2.25      0.00      0.00     85.39
11:07:19 AM     all     37.78      0.00      1.11      0.00      0.00     61.11
11:07:20 AM     all     10.11      0.00      1.12      0.00      1.12     87.64
11:07:21 AM     all     12.50      0.00      0.00      0.00      0.00     87.50
11:07:22 AM     all      3.30      0.00      3.30      0.00      0.00     93.41
11:07:23 AM     all     11.11      0.00      0.00      0.00      1.11     87.78
11:07:24 AM     all      3.19      0.00      0.00      0.00      0.00     96.81
11:07:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:29 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
11:07:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:31 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
11:07:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:07:40 AM     all      0.00      0.00      0.00      0.99      0.00     99.01
