Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/30/2016 	_x86_64_	(1 CPU)

11:31:04 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:31:05 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:31:06 AM     all     11.00      0.00      0.00      0.00      0.00     89.00
11:31:07 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
11:31:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:09 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
11:31:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:11 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:31:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:14 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
11:31:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:22 AM     all      9.09      0.00      1.01      0.00      0.00     89.90
11:31:23 AM     all      3.33      0.00      2.22      0.00      0.00     94.44
11:31:24 AM     all      2.25      0.00      0.00      0.00      1.12     96.63
11:31:25 AM     all      3.37      0.00      0.00      0.00      0.00     96.63
11:31:26 AM     all      5.62      0.00      1.12      0.00      0.00     93.26
11:31:27 AM     all      1.12      0.00      1.12      0.00      1.12     96.63
11:31:28 AM     all      3.45      0.00      0.00      0.00      0.00     96.55
11:31:29 AM     all      1.15      0.00      0.00      0.00      0.00     98.85
11:31:30 AM     all      2.22      0.00      1.11      1.11      1.11     94.44
11:31:31 AM     all      2.25      0.00      1.12      0.00      0.00     96.63
11:31:32 AM     all      1.14      0.00      0.00      0.00      1.14     97.73
11:31:33 AM     all      1.15      0.00      1.15      0.00      0.00     97.70
11:31:34 AM     all      2.25      0.00      1.12      0.00      0.00     96.63
11:31:35 AM     all      5.56      0.00      1.11      0.00      0.00     93.33
11:31:36 AM     all     15.05      0.00      1.08      0.00      1.08     82.80
11:31:37 AM     all      4.40      0.00      3.30      0.00      0.00     92.31
11:31:38 AM     all      6.74      0.00      0.00      0.00      1.12     92.13
11:31:39 AM     all      1.12      0.00      2.25      0.00      0.00     96.63
11:31:40 AM     all      2.25      0.00      1.12      1.12      0.00     95.51
11:31:41 AM     all     23.08      0.00      1.10      0.00      0.00     75.82
11:31:42 AM     all      4.35      0.00      1.09      0.00      1.09     93.48
11:31:43 AM     all      2.27      0.00      1.14      0.00      0.00     96.59
11:31:44 AM     all     32.61      0.00      2.17      0.00      0.00     65.22
11:31:45 AM     all     13.19      0.00      1.10      0.00      1.10     84.62
11:31:46 AM     all     14.44      0.00      1.11      0.00      0.00     84.44
11:31:47 AM     all     51.06      0.00      2.13      0.00      0.00     46.81
11:31:48 AM     all     17.98      0.00      1.12      0.00      0.00     80.90
11:31:49 AM     all     22.58      0.00      2.15      0.00      0.00     75.27
11:31:50 AM     all      8.79      0.00      2.20      1.10      1.10     86.81
11:31:51 AM     all      7.78      0.00      1.11      0.00      0.00     91.11
11:31:52 AM     all      7.69      0.00      2.20      0.00      1.10     89.01
11:31:53 AM     all      4.44      0.00      1.11      0.00      0.00     94.44
11:31:54 AM     all      5.62      0.00      1.12      0.00      0.00     93.26
11:31:55 AM     all     34.78      0.00      1.09      0.00      0.00     64.13
11:31:56 AM     all     10.00      0.00      1.11      0.00      1.11     87.78
11:31:57 AM     all     18.48      0.00      1.09      0.00      0.00     80.43
11:31:58 AM     all      0.00      0.00      2.25      0.00      0.00     97.75
11:31:59 AM     all      1.12      0.00      0.00      0.00      1.12     97.75
11:32:00 AM     all     25.00      0.00      1.09      1.09      0.00     72.83
11:32:01 AM     all      2.27      0.00      0.00      0.00      0.00     97.73
11:32:02 AM     all      1.15      0.00      0.00      0.00      1.15     97.70
11:32:03 AM     all     18.89      0.00      1.11      0.00      0.00     80.00
11:32:04 AM     all      1.12      0.00      0.00      0.00      0.00     98.88
11:32:05 AM     all      2.25      0.00      1.12      0.00      1.12     95.51
11:32:06 AM     all      1.12      0.00      1.12      0.00      0.00     97.75
11:32:07 AM     all      3.33      0.00      1.11      0.00      0.00     95.56
11:32:08 AM     all      0.00      0.00      0.00      0.00      1.15     98.85
11:32:09 AM     all      2.25      0.00      1.12      0.00      0.00     96.63
11:32:10 AM     all      1.14      0.00      0.00      2.27      1.14     95.45
11:32:11 AM     all      1.14      0.00      0.00      0.00      0.00     98.86
11:32:12 AM     all      2.25      0.00      1.12      0.00      0.00     96.63
11:32:13 AM     all     21.11      0.00      2.22      0.00      0.00     76.67
11:32:14 AM     all     60.82      0.00      2.06      0.00      1.03     36.08
11:32:15 AM     all      2.15      0.00      3.23      2.15      0.00     92.47
11:32:16 AM     all      2.30      0.00      0.00      0.00      0.00     97.70
11:32:17 AM     all     12.22      0.00      0.00      0.00      1.11     86.67
11:32:18 AM     all      1.12      0.00      2.25      0.00      0.00     96.63
11:32:19 AM     all      1.15      0.00      0.00      0.00      0.00     98.85
