Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/31/2016 	_x86_64_	(1 CPU)

02:54:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:54:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:22 PM     all      0.00      0.00      0.00      2.00      0.00     98.00
02:54:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:24 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:54:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:28 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:54:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:32 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:54:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:35 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:54:36 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:54:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:38 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:54:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:54:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:52 PM     all      0.00      0.00      0.00      0.99      0.99     98.02
02:54:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:58 PM     all     20.00      0.00      1.00      1.00      0.00     78.00
02:54:59 PM     all     76.29      0.00      1.03      0.00      0.00     22.68
02:55:00 PM     all     83.51      0.00      4.12      0.00      0.00     12.37
02:55:01 PM     all     79.38      0.00      8.25      0.00      0.00     12.37
02:55:02 PM     all     72.45      0.00      2.04      0.00      1.02     24.49
02:55:03 PM     all     62.77      0.00      8.51      0.00      0.00     28.72
02:55:04 PM     all     62.64      0.00      4.40      0.00      0.00     32.97
02:55:05 PM     all     64.13      0.00      8.70      0.00      0.00     27.17
02:55:06 PM     all     74.47      0.00      4.26      0.00      0.00     21.28
02:55:07 PM     all     81.63      0.00      7.14      0.00      0.00     11.22
02:55:08 PM     all     93.94      0.00      6.06      0.00      0.00      0.00
02:55:09 PM     all     85.86      0.00     12.12      0.00      0.00      2.02
02:55:10 PM     all     74.47      0.00      6.38      0.00      0.00     19.15
02:55:11 PM     all     62.64      0.00      7.69      0.00      1.10     28.57
02:55:12 PM     all     84.38      0.00      6.25      0.00      0.00      9.38
02:55:13 PM     all     36.63      0.00      1.98      0.00      0.00     61.39
02:55:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:15 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
02:55:16 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:55:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:19 PM     all      0.99      0.00      0.00      1.98      0.00     97.03
02:55:20 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:55:21 PM     all      6.06      0.00      0.00      0.00      0.00     93.94
02:55:22 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:55:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:30 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:55:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:34 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
02:55:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:55:39 PM     all      3.00      0.00      0.00      0.00      0.00     97.00
02:55:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
