Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/31/2016 	_x86_64_	(1 CPU)

03:38:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:38:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:22 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
03:38:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:28 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
03:38:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:30 PM     all      9.00      0.00      0.00      0.00      0.00     91.00
03:38:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:38 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
03:38:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:38:46 PM     all     16.16      0.00      2.02      0.00      0.00     81.82
03:38:47 PM     all     73.12      0.00      4.30      0.00      0.00     22.58
03:38:48 PM     all     65.26      0.00      5.26      0.00      0.00     29.47
03:38:49 PM     all     65.96      0.00      6.38      0.00      0.00     27.66
03:38:50 PM     all     16.47      0.00      3.53      0.00      1.18     78.82
03:38:51 PM     all     14.12      0.00      4.71      0.00      0.00     81.18
03:38:52 PM     all     66.67      7.29     12.50      1.04      0.00     12.50
03:38:53 PM     all     53.12      7.29      9.38      1.04      1.04     28.12
03:38:54 PM     all     31.40      3.49      8.14      3.49      0.00     53.49
03:38:55 PM     all     29.07      3.49      9.30      3.49      0.00     54.65
03:38:56 PM     all     13.25      2.41     10.84      3.61      1.20     68.67
03:38:57 PM     all     42.22      5.56     15.56      2.22      0.00     34.44
03:38:58 PM     all      8.33      7.14      7.14      3.57      0.00     73.81
03:38:59 PM     all     14.81      2.47      7.41      3.70      1.23     70.37
03:39:00 PM     all      7.41      0.00      3.70      2.47      1.23     85.19
03:39:01 PM     all      1.03      0.00      0.00      0.00      0.00     98.97
03:39:02 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
03:39:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:07 PM     all      0.00      0.00      0.00      1.00      1.00     98.00
03:39:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:22 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
03:39:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:27 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
03:39:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:33 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
03:39:34 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
03:39:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:36 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
03:39:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:39:40 PM     all     13.40      0.00      1.03      0.00      0.00     85.57
03:39:41 PM     all     81.82      0.00     10.10      1.01      0.00      7.07
03:39:42 PM     all     78.00      0.00     22.00      0.00      0.00      0.00
03:39:43 PM     all     73.27      0.00     25.74      0.00      0.00      0.99
03:39:44 PM     all     77.55      0.00     20.41      1.02      0.00      1.02
03:39:45 PM     all     64.21      0.00     21.05      0.00      1.05     13.68
03:39:46 PM     all     71.88      0.00     19.79      8.33      0.00      0.00
03:39:47 PM     all     66.30      0.00     15.22      4.35      0.00     14.13
03:39:48 PM     all     78.12      0.00     18.75      3.12      0.00      0.00
03:39:49 PM     all     36.56      0.00     11.83     49.46      0.00      2.15
03:39:50 PM     all     82.00      0.00     18.00      0.00      0.00      0.00
03:39:51 PM     all     83.00      0.00     17.00      0.00      0.00      0.00
