Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/31/2016 	_x86_64_	(1 CPU)

04:00:51 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:52 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
04:00:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:56 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:00:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:58 PM     all      0.00      0.00      0.98      0.98      0.00     98.04
04:00:59 PM     all      0.00      1.00      0.00      0.00      0.00     99.00
04:01:00 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:01:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:12 PM     all      0.00      0.00      0.00      1.00      1.00     98.00
04:01:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:20 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
04:01:21 PM     all     11.11      0.00      2.22      0.00      0.00     86.67
04:01:22 PM     all      4.94      0.00      2.47      0.00      0.00     92.59
