Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/31/2016 	_x86_64_	(1 CPU)

04:07:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:07:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:01 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
04:08:02 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:08:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:13 PM     all      0.99      0.00      0.99      0.00      0.00     98.02
04:08:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:15 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:08:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:20 PM     all      9.89      0.00      1.10      1.10      0.00     87.91
04:08:21 PM     all      3.57      0.00      3.57      2.38      1.19     89.29
04:08:22 PM     all     18.07      0.00      4.82      2.41      0.00     74.70
04:08:23 PM     all      1.20      0.00      4.82      3.61      1.20     89.16
04:08:24 PM     all      7.41      0.00      1.23      0.00      0.00     91.36
04:08:25 PM     all      3.85      0.00      1.28      0.00      1.28     93.59
04:08:26 PM     all      5.95      0.00      4.76      3.57      0.00     85.71
04:08:27 PM     all     21.18      0.00      7.06      3.53      1.18     67.06
04:08:28 PM     all      4.94      0.00      3.70      3.70      0.00     87.65
04:08:29 PM     all     14.12      0.00      3.53      0.00      1.18     81.18
04:08:30 PM     all     18.75      0.00      3.75      1.25      0.00     76.25
04:08:31 PM     all      3.61      0.00      3.61      0.00      1.20     91.57
04:08:32 PM     all     30.95      0.00      7.14      3.57      0.00     58.33
04:08:33 PM     all     23.53      0.00      4.71      2.35      0.00     69.41
04:08:34 PM     all      4.40      0.00      1.10      0.00      1.10     93.41
04:08:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:08:40 PM     all      0.00      0.00      0.00      2.00      0.00     98.00
04:08:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
