Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/26/2016 	_x86_64_	(1 CPU)

12:56:48 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:53 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:56:54 AM     all      0.00      0.00      0.00      1.02      0.00     98.98
12:56:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:56:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:04 AM     all      1.98      0.00      0.00      0.00      0.00     98.02
12:57:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:07 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:57:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:09 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:57:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:11 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:57:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:13 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
12:57:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:16 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:57:17 AM     all      3.03      0.00      0.00      0.00      0.00     96.97
12:57:18 AM     all     20.79      0.00      0.99      0.99      0.00     77.23
12:57:19 AM     all     75.76      0.00      3.03      0.00      0.00     21.21
12:57:20 AM     all     95.05      0.00      3.96      0.00      0.00      0.99
12:57:21 AM     all     52.04      0.00      5.10      0.00      0.00     42.86
12:57:22 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:57:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:29 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
12:57:30 AM     all      1.01      0.00      0.00      0.00      0.00     98.99
12:57:31 AM     all      2.00      0.00      0.00      0.00      1.00     97.00
12:57:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:34 AM     all      1.00      0.00      0.00      1.00      0.00     98.00
12:57:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:44 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:57:45 AM     all      3.00      0.00      0.00      0.00      0.00     97.00
12:57:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:49 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:57:50 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:57:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:53 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
12:57:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:57:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:04 AM     all      0.00      0.00      0.00      0.99      0.00     99.01
12:58:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:08 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:58:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:10 AM     all      1.02      0.00      0.00      1.02      0.00     97.96
12:58:11 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:58:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:14 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:58:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:20 AM     all      4.04      0.00      0.00      0.00      0.00     95.96
12:58:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:24 AM     all      6.00      0.00      0.00      0.00      0.00     94.00
12:58:25 AM     all     63.27      0.00      4.08      0.00      0.00     32.65
12:58:26 AM     all     27.00      0.00      1.00      0.00      0.00     72.00
12:58:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:28 AM     all      6.93      0.00      0.99      0.00      0.00     92.08
12:58:29 AM     all     12.12      0.00      0.00      0.00      0.00     87.88
12:58:30 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
12:58:31 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:58:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:33 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:58:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:36 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:58:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:58:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
