Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/26/2016 	_x86_64_	(1 CPU)

01:03:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:03:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:12 AM     all      9.09      0.00      0.00      0.00      0.00     90.91
01:03:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:14 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:03:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:28 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:03:29 AM     all     41.84      0.00      0.00      0.00      0.00     58.16
01:03:30 AM     all     62.37      0.00      3.23      0.00      0.00     34.41
01:03:31 AM     all     45.45      0.00      1.01      0.00      0.00     53.54
01:03:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:38 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
01:03:39 AM     all      0.00      0.00      0.99      0.99      0.00     98.02
01:03:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:42 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:03:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:44 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
01:03:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:46 AM     all      0.98      0.00      0.98      0.00      0.00     98.04
01:03:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:50 AM     all      0.00      0.00      0.00      0.00      0.99     99.01
01:03:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:57 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:03:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:03:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:00 AM     all      0.00      0.00      0.00      0.99      0.00     99.01
01:04:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:05 AM     all     51.58      0.00      1.05      0.00      0.00     47.37
01:04:06 AM     all     23.00      0.00      1.00      0.00      0.00     76.00
01:04:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:08 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:04:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:13 AM     all      2.00      0.00      0.00      0.00      0.00     98.00
01:04:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:04:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
