Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/26/2016 	_x86_64_	(1 CPU)

01:15:19 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:15:20 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
01:15:21 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
01:15:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:24 AM     all      1.00      0.00      1.00      0.00      0.00     98.00
01:15:25 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
01:15:26 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
01:15:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:29 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:31 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
01:15:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:42 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:15:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:44 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:51 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
01:15:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:57 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
01:15:58 AM     all     43.96      0.00      2.20      0.00      0.00     53.85
01:15:59 AM     all     66.30      0.00      6.52      0.00      1.09     26.09
01:16:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:01 AM     all      3.03      0.00      0.00      0.00      0.00     96.97
01:16:02 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
01:16:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:05 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
01:16:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:07 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
01:16:08 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
01:16:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:11 AM     all      0.00      0.00      0.00      0.99      0.00     99.01
01:16:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:16:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
