Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/21/2016 	_x86_64_	(1 CPU)

06:01:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:01:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:54 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:01:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:01:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:02 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
06:02:03 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
06:02:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:05 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:02:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:08 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
06:02:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:11 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:02:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:23 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
06:02:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:29 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
06:02:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:32 PM     all     11.11      0.00      0.00      0.00      0.00     88.89
06:02:33 PM     all     72.45      0.00      6.12      1.02      1.02     19.39
06:02:34 PM     all     55.10      0.00      6.12      0.00      0.00     38.78
06:02:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:36 PM     all      6.00      0.00      0.00      0.00      0.00     94.00
06:02:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:39 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
06:02:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:42 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:02:43 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
06:02:44 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:02:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:46 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:02:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:53 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:02:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:02:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:13 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
06:03:14 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:03:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:18 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
06:03:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:21 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:03:22 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:03:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:31 PM     all      0.00      1.00      0.00      0.00      0.00     99.00
06:03:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:41 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:03:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:03:44 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
