Linux 3.13.0-105-generic (ip-172-31-9-123) 	01/01/2017 	_x86_64_	(1 CPU)

05:55:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:55:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:31 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:55:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:34 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:55:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:55 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:55:56 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
05:55:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:55:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:04 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:56:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:07 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:56:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:09 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:56:10 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:56:11 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
05:56:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:13 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:56:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:23 PM     all      3.00      0.00      0.00      0.00      0.00     97.00
05:56:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:25 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
05:56:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:31 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
05:56:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:56:34 PM     all     24.24      0.00      0.00      0.00      0.00     75.76
05:56:35 PM     all     70.83      0.00      1.04      0.00      0.00     28.12
05:56:36 PM     all     62.11      0.00      1.05      0.00      1.05     35.79
05:56:37 PM     all     47.31      0.00      2.15      0.00      0.00     50.54
05:56:38 PM     all     28.09      0.00      3.37      0.00      0.00     68.54
05:56:39 PM     all     24.73      0.00      4.30      0.00      1.08     69.89
05:56:40 PM     all     23.86      0.00      3.41      0.00      0.00     72.73
05:56:41 PM     all     68.42      0.00      3.16      3.16      0.00     25.26
05:56:42 PM     all     43.96      0.00      4.40      0.00      0.00     51.65
05:56:43 PM     all     46.15      0.00      2.20      0.00      1.10     50.55
05:56:44 PM     all     37.23      0.00      5.32      0.00      0.00     57.45
05:56:45 PM     all     31.82      0.00      2.27      0.00      0.00     65.91
05:56:46 PM     all      8.43      0.00      3.61      0.00      1.20     86.75
05:56:47 PM     all     30.68      0.00      1.14      0.00      0.00     68.18
05:56:48 PM     all     63.83      0.00      5.32      0.00      0.00     30.85
05:56:49 PM     all     34.44      0.00      2.22      0.00      1.11     62.22
05:56:50 PM     all     16.85      0.00      3.37      0.00      0.00     79.78
05:56:51 PM     all     17.78      0.00      2.22     10.00      1.11     68.89
05:56:52 PM     all     22.83      0.00      5.43      0.00      0.00     71.74
05:56:53 PM     all      6.90      0.00      3.45      0.00      1.15     88.51
05:56:54 PM     all     60.00      0.00     12.63      0.00      0.00     27.37
05:56:55 PM     all     26.44      0.00      3.45     13.79      1.15     55.17
05:56:56 PM     all     15.12      0.00      2.33      0.00      0.00     82.56
05:56:57 PM     all      8.33      0.00      3.57      0.00      0.00     88.10
05:56:58 PM     all     16.85      0.00      4.49      2.25      1.12     75.28
05:56:59 PM     all      6.90      0.00      2.30      2.30      1.15     87.36
05:57:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:05 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:57:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:08 PM     all      0.00      0.00      1.00      1.00      0.00     98.00
05:57:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:15 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:57:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:19 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:57:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:24 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:57:25 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:57:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:27 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:57:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:29 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
05:57:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:31 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:57:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:38 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:57:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:57:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
