Linux 3.13.0-105-generic (ip-172-31-9-123) 	01/01/2017 	_x86_64_	(1 CPU)

06:07:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:07:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:35 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
06:07:36 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:07:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:38 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:07:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:45 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
06:07:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:07:49 PM     all     15.15      0.00      0.00      0.00      0.00     84.85
06:07:50 PM     all     14.77      0.00      1.14      0.00      1.14     82.95
06:07:51 PM     all      2.35      0.00      3.53      2.35      1.18     90.59
06:07:52 PM     all     14.46      0.00      1.20      0.00      0.00     84.34
06:07:53 PM     all      3.57      0.00      4.76      0.00      0.00     91.67
06:07:54 PM     all      6.10      0.00      2.44      0.00      1.22     90.24
06:07:55 PM     all      3.49      0.00      3.49      0.00      1.16     91.86
06:07:56 PM     all     31.40      0.00      9.30      0.00      0.00     59.30
06:07:57 PM     all     32.97      0.00      3.30      0.00      1.10     62.64
06:07:58 PM     all      1.25      0.00      2.50      0.00      0.00     96.25
06:07:59 PM     all      6.98      0.00      3.49      0.00      1.16     88.37
06:08:00 PM     all      3.70      0.00      1.23      0.00      0.00     95.06
06:08:01 PM     all      7.95      0.00      3.41      0.00      1.14     87.50
06:08:02 PM     all      4.60      0.00      4.60      0.00      1.15     89.66
06:08:03 PM     all      6.17      0.00      2.47      9.88      0.00     81.48
06:08:04 PM     all      5.68      0.00      3.41      0.00      1.14     89.77
06:08:05 PM     all      5.75      0.00      3.45      1.15      1.15     88.51
06:08:06 PM     all      5.75      0.00      3.45      0.00      0.00     90.80
