Linux 3.13.0-105-generic (ip-172-31-9-123) 	01/01/2017 	_x86_64_	(1 CPU)

06:14:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:31 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:14:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:33 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:14:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:45 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
06:14:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:51 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
06:14:52 PM     all      6.00      0.00      0.00      0.00      0.00     94.00
06:14:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:14:55 PM     all      3.23      0.00      1.08      0.00      1.08     94.62
06:14:56 PM     all      6.90      0.00      2.30      1.15      0.00     89.66
06:14:57 PM     all      4.76      0.00      3.57      0.00      0.00     91.67
06:14:58 PM     all      2.38      0.00      0.00      0.00      1.19     96.43
06:14:59 PM     all      0.00      0.00      1.20      0.00      1.20     97.59
06:15:00 PM     all      6.90      0.00      3.45      0.00      0.00     89.66
06:15:01 PM     all      2.08      0.00      2.08      0.00     10.42     85.42
06:15:02 PM     all      2.30      0.00      1.15      0.00      1.15     95.40
06:15:03 PM     all      5.68      0.00      2.27      9.09      0.00     82.95
06:15:04 PM     all      2.33      0.00      2.33      0.00      1.16     94.19
06:15:05 PM     all      1.16      0.00      3.49      1.16      0.00     94.19
06:15:06 PM     all      5.81      0.00      1.16      0.00      1.16     91.86
06:15:07 PM     all      3.45      0.00      2.30      0.00      1.15     93.10
06:15:08 PM     all      1.15      0.00      2.30      0.00      0.00     96.55
06:15:09 PM     all      1.15      0.00      3.45      0.00      1.15     94.25
06:15:10 PM     all      2.33      0.00      2.33      0.00      0.00     95.35
06:15:11 PM     all      2.33      0.00      2.33      0.00      1.16     94.19
06:15:12 PM     all      5.75      0.00      4.60      9.20      0.00     80.46
06:15:13 PM     all     23.08      0.00      9.89     18.68      1.10     47.25
06:15:14 PM     all      4.49      0.00      3.37      0.00      0.00     92.13
06:15:15 PM     all      2.30      0.00      1.15      1.15      1.15     94.25
06:15:16 PM     all      1.20      0.00      0.00      0.00      0.00     98.80
06:15:17 PM     all      4.60      0.00      1.15      0.00      1.15     93.10
06:15:18 PM     all      2.38      0.00      0.00      0.00      1.19     96.43
06:15:19 PM     all      2.44      0.00      1.22      0.00      0.00     96.34
06:15:20 PM     all      0.00      0.00      7.06      9.41      1.18     82.35
06:15:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:30 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
06:15:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:46 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:15:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:48 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
06:15:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:51 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
06:15:52 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
06:15:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:55 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
06:15:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:15:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:04 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
06:16:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:13 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
06:16:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:16:15 PM     all     11.11      0.00      1.11      0.00      0.00     87.78
06:16:16 PM     all     13.64      0.00      3.41      0.00      1.14     81.82
06:16:17 PM     all     16.87      0.00      4.82      0.00      0.00     78.31
06:16:18 PM     all     22.47      0.00      6.74      0.00      1.12     69.66
06:16:19 PM     all     15.85      0.00      8.54      0.00      0.00     75.61
