Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/24/2016 	_x86_64_	(1 CPU)

02:53:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:11 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:53:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:13 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:53:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:17 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:53:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:21 PM     all      5.05      0.00      0.00      0.00      0.00     94.95
02:53:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:25 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:53:26 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:53:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:37 PM     all     36.36      0.00      1.01      0.00      1.01     61.62
02:53:38 PM     all     73.40      0.00      5.32      0.00      0.00     21.28
02:53:39 PM     all     18.37      0.00      3.06      0.00      0.00     78.57
02:53:40 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:53:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:48 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:53:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:50 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:53:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:52 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:53:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:53:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:05 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
02:54:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:54:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
