Linux 3.13.0-100-generic (ip-172-31-12-113) 	12/24/2016 	_x86_64_	(1 CPU)

04:00:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:00:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:06 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
04:01:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:09 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:01:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:11 PM     all     35.16      0.00      4.40      0.00      1.10     59.34
04:01:12 PM     all      3.30      0.00      2.20      0.00      0.00     94.51
04:01:13 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:01:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:19 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
04:01:20 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:01:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:23 PM     all      0.00      1.00      0.00      0.00      0.00     99.00
04:01:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:47 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:01:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:50 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:01:51 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:01:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:54 PM     all     18.18      0.00      0.00      0.00      0.00     81.82
04:01:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:00 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:02:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:14 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:02:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
