Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/22/2016 	_x86_64_	(1 CPU)

04:32:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:32:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:32 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:32:33 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
04:32:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:36 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:32:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:38 PM     all      0.00      0.00      0.99      0.00      0.99     98.02
04:32:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:42 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
04:32:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:47 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:32:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:51 PM     all      3.03      0.00      0.00      0.00      0.00     96.97
04:32:52 PM     all     28.57      0.00      2.20      0.00      0.00     69.23
04:32:53 PM     all     49.45      0.00      3.30      0.00      0.00     47.25
04:32:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:11 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:33:12 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:33:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:14 PM     all      4.00      0.00      1.00      0.00      0.00     95.00
04:33:15 PM     all     14.00      0.00      0.00      0.00      0.00     86.00
04:33:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:18 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:33:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:27 PM     all      6.00      0.00      0.00      0.00      0.00     94.00
04:33:28 PM     all     54.84      0.00      5.38      0.00      1.08     38.71
04:33:29 PM     all      8.08      0.00      0.00      0.00      0.00     91.92
04:33:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:31 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
04:33:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:36 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:33:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:41 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
04:33:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:33:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
