Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/22/2016 	_x86_64_	(1 CPU)

05:22:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:22:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:31 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
05:22:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:43 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:22:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:46 PM     all     10.99      0.00      0.00      0.00      0.00     89.01
05:22:47 PM     all     86.46      0.00      5.21      0.00      0.00      8.33
05:22:48 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
05:22:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:50 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:22:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:53 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:22:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:55 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:22:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:22:58 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:22:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:05 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
05:23:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:23:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
