Linux 3.13.0-100-generic (ip-172-31-1-186) 	12/24/2016 	_x86_64_	(1 CPU)

05:25:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:19 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:25:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:21 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:25:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:33 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:25:34 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:25:35 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
05:25:36 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:25:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:39 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:25:40 PM     all      1.06      0.00      1.06      0.00      0.00     97.87
05:25:41 PM     all     30.95      0.00      3.57      0.00      0.00     65.48
05:25:42 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:25:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:48 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:25:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:55 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
05:25:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:25:58 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:25:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:00 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:26:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:02 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:26:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:08 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:26:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:13 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
05:26:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:15 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:26:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:17 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:26:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:19 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:26:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:21 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:26:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:23 PM     all     41.49      0.00      3.19      0.00      0.00     55.32
05:26:24 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
05:26:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:29 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:26:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:32 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
05:26:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:35 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:26:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:37 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:26:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:39 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
05:26:40 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:26:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:46 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
05:26:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:56 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:26:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:26:58 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:26:59 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
