Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/25/2016 	_x86_64_	(1 CPU)

02:06:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:06:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:11 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:06:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:23 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:06:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:28 PM     all     11.11      0.00      0.00      1.11      0.00     87.78
02:06:29 PM     all     76.29      0.00     10.31      0.00      0.00     13.40
02:06:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:38 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:06:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:42 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
02:06:43 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:06:44 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:06:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:48 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:06:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:53 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:06:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:58 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
02:06:59 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
02:07:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:01 PM     all     15.15      0.00      0.00      0.00      0.00     84.85
02:07:02 PM     all     29.55      0.00      2.27      0.00      0.00     68.18
02:07:03 PM     all     11.00      0.00      0.00      0.00      0.00     89.00
02:07:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:11 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:07:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
