Linux 3.13.0-100-generic (ip-172-31-12-113) 	12/25/2016 	_x86_64_	(1 CPU)

02:13:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:13:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:38 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:13:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:54 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:13:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:58 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:13:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:02 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:14:03 PM     all     28.09      0.00      2.25      0.00      0.00     69.66
02:14:04 PM     all     22.34      0.00      3.19      0.00      1.06     73.40
02:14:05 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:14:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:08 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
02:14:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:13 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:14:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:21 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:14:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:37 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
02:14:38 PM     all     32.97      0.00      2.20      0.00      0.00     64.84
02:14:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:44 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:14:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:46 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
02:14:47 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
02:14:48 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
02:14:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:57 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
02:14:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
